t,ax,ay,az
864972,32.07,-0.45,-51.40
869544,42.12,11.85,-66.30
874144,48.57,-12.33,-78.45
878780,40.47,3.52,-70.00
883328,22.17,4.22,-32.85
887896,1.42,-10.11,-7.79
892424,-20.25,10.02,35.59
897072,-42.03,-6.70,76.06
901664,-50.41,-5.55,78.45
906280,-55.21,7.60,78.45
910860,-49.15,-9.11,78.45
915480,-28.84,4.71,44.48
920076,-7.44,-1.67,16.00
924640,11.35,-6.72,-13.32
929212,32.59,7.59,-60.46
933776,40.69,-4.64,-68.21
938356,42.24,1.07,-68.82
942916,37.37,6.52,-69.01
947480,19.69,-8.02,-31.21
952052,1.31,4.61,2.93
956524,-20.04,-0.54,31.02
961108,-40.48,-5.12,70.01
965728,-50.26,7.75,78.45
970328,-50.14,-8.25,78.45
974940,-44.04,-1.13,74.23
979544,-27.33,3.99,48.73
984136,-8.40,-8.61,11.68
988680,12.19,5.79,-20.88
993260,29.56,-1.90,-49.04
997836,38.83,-5.03,-69.89
1002416,38.81,6.57,-65.46
1007064,31.82,-3.97,-52.13
1011724,17.18,0.52,-32.57
1016356,-5.08,2.22,11.23
1020948,-22.05,-6.00,41.26
1025584,-38.20,4.70,61.00
1030216,-47.20,-1.47,78.45
1034868,-47.95,-2.15,78.45
1039532,-36.83,3.10,58.66
1044172,-24.10,-5.75,42.91
1048828,-3.13,3.39,6.26
1053364,17.27,-1.67,-32.04
1058008,28.31,-3.99,-48.14
1062660,36.32,5.50,-63.67
1067288,36.34,-3.28,-65.03
1071936,26.01,0.20,-43.46
1076552,9.29,2.59,-15.95
1081144,-6.14,-6.03,9.01
1085680,-26.40,3.85,45.65
1090328,-38.23,-0.13,65.21
1094976,-45.13,-3.54,73.85
1099644,-43.42,4.53,73.51
1104284,-34.29,-4.08,58.38
1108940,-16.63,1.32,26.78
1113596,2.24,0.40,-1.82
1118132,16.77,-4.35,-28.03
1122784,29.60,3.80,-53.45
1127420,33.55,-1.03,-57.83
1132064,31.12,-1.25,-54.56
1136724,20.12,2.49,-36.55
1141344,6.26,-3.76,-9.86
1145892,-12.23,2.10,19.77
1150532,-25.98,0.43,41.91
1155164,-39.09,-3.26,66.31
1159820,-42.98,3.00,70.59
1164456,-39.49,-2.98,64.76
1169116,-28.25,0.66,48.70
1173748,-10.44,0.81,17.02
1178392,3.99,-3.67,-7.07
1182928,19.23,3.21,-31.74
1187564,28.03,-0.41,-49.45
1192208,31.43,-1.93,-55.47
1196868,25.88,2.56,-44.63
1201468,16.87,-2.84,-29.83
1206124,0.29,0.83,-1.30
1210628,-14.17,1.55,23.93
1215280,-29.08,-3.11,46.89
1219928,-38.79,2.28,63.41
1224576,-40.82,-1.39,68.38
1229236,-34.50,-0.90,56.25
1233892,-21.91,0.97,35.99
1238532,-8.73,-2.95,15.11
1243160,8.40,1.66,-15.70
1247736,19.21,0.36,-33.49
1252376,27.44,-1.51,-46.83
1257028,28.33,2.20,-50.48
1261652,23.06,-1.75,-40.36
1266288,10.53,0.37,-18.06
1270920,-1.99,1.31,2.53
1275448,-18.36,-2.65,30.31
1280112,-31.57,1.75,51.88
1284748,-37.14,-0.91,60.50
1289396,-37.34,-1.01,61.38
1294060,-29.75,1.27,49.24
1298704,-18.98,-2.71,30.66
1303368,-3.29,0.78,4.35
1307892,8.84,0.33,-15.87
1312472,20.87,-2.02,-37.16
1317116,26.36,1.98,-46.42
